,IO,IO_std,compute,compute_std,conclude,conclude_std,n,prepare,prepare_std,total,total_std,universe,universe_std,wait,wait_std
1,7.03022837638855,0.42742198095375583,0.12994122505187988,0.0025438255962280804,9.331703186035156e-05,9.382914639472078e-06,1.0,8.440017700195312e-06,1.1631308477068394e-06,9.108807611465455,0.8368229208583491,0.9754250049591064,0.015564675487825688,0.9167698860168457,0.39599488569741265
1,3.277783679962158,0.08729156520713434,0.06434621810913085,0.0016904060493250898,8.6212158203125e-05,7.778074999224292e-06,2.0,1.1014938354492188e-05,1.0171284202433368e-06,5.118059349060059,0.3341437284052102,0.959527587890625,0.019813477367208867,0.7673588275909424,0.2446356443605757
1,1.6162898540496826,0.006988842407265838,0.03219494819641113,0.0009386788441953238,9.226799011230469e-05,8.95102222566277e-06,4.0,1.163482666015625e-05,1.5210283191429693e-06,3.483924055099487,0.004472953636763562,0.9602566242218018,0.006881344032152862,0.8291496276855469,0.01856848239858946
1,0.8289879322052002,0.02238431687494425,0.017356729507446288,0.0009340372989766737,0.00016317367553710937,0.00014903493698670056,8.0,1.2350082397460937e-05,1.1728643299340098e-06,3.3246381759643553,0.06016892033866805,0.9481063842773437,0.01654760910862622,1.4390172004699706,0.05754938738283275
1,0.431333589553833,0.010907344312762092,0.009772109985351562,0.0003592645387652499,0.00033020973205566406,0.00015101450491588603,16.0,9.5367431640625e-06,5.591411304263389e-07,3.9322548389434813,0.3820155402609655,0.9711126804351806,0.014071611829949536,2.4049822330474853,0.3943346571733015
1,0.29724717140197754,0.003999790073801433,0.006444168090820312,0.00041737974157806935,0.0003679752349853516,0.00010506912289804422,24.0,1.0824203491210937e-05,1.5868722240728127e-06,3.7420980453491213,0.21211946743817828,0.9594799995422363,0.006776206976729559,2.3392919540405273,0.20990918052708044
1,0.21497492790222167,0.008315559304479423,0.004279947280883789,0.00032713798900588735,0.0004109859466552734,0.00011920588011634449,32.0,1.0967254638671875e-05,9.5367431640625e-07,3.015190601348877,0.1351677191891241,0.9575443744659424,0.012914976896876623,1.6764533996582032,0.1217752986679874
1,0.16353578567504884,0.00533169586948116,0.0034875392913818358,0.00037743669427534667,0.0004851818084716797,4.189184730338023e-05,40.0,1.0824203491210937e-05,2.2403736039797798e-06,2.2506986618041993,0.06419077788952836,0.9575439929962158,0.012567503221569274,0.9454730033874512,0.05514242076488563
1,0.13314547538757324,0.004468173100523938,0.00272369384765625,0.00019014722482632425,0.0005403518676757813,8.621223732429857e-05,48.0,1.1396408081054687e-05,8.984300461490998e-07,2.254955196380615,0.04068991464384311,0.9626760959625245,0.020149410871386927,0.963596773147583,0.016602194826368596
1,0.11721940040588379,0.003373627188346206,0.0025588035583496093,0.00018717396727598636,0.0006112098693847656,0.00015561754347865052,56.0,1.18255615234375e-05,1.4755009123578835e-06,2.4846539974212645,0.1093030043818434,0.9945686340332032,0.09075154596756223,1.1572621822357179,0.07948067013456955
1,0.10096521377563476,0.0007037345388800977,0.0021684646606445314,0.00031078533502627707,0.0005974292755126954,7.085894831747747e-05,64.0,1.1968612670898438e-05,6.827269107473543e-07,2.6122713565826414,0.07359101930697227,0.9679195880889893,0.012311173422093567,1.3194464206695558,0.07041000070508849
1,0.08823704719543457,0.0036272353094964345,0.001815652847290039,0.00020731058244705125,0.0006808280944824219,0.00010987379951757143,72.0,1.1348724365234375e-05,1.087356019114626e-06,2.648222732543945,0.04867802589917625,1.380899715423584,0.12560985127547133,0.9109996318817138,0.12713543116004608
