,IO,IO_std,compute,compute_std,conclude,conclude_std,n,prepare,prepare_std,total,total_std,universe,universe_std,wait,wait_std
1,7.146797466278076,1.2011053900333621,0.11987543106079102,0.002812264487699405,7.219314575195313e-05,2.77734620445699e-06,1.0,5.9604644775390625e-06,9.5367431640625e-07,8.199527359008789,1.2083062831473255,0.8668758392333984,0.007527850593085525,0.022548389434814454,0.008663448282947642
1,3.169744682312012,0.007028425185780383,0.059542083740234376,0.0013687409893830484,8.115768432617187e-05,2.942320970339752e-06,2.0,6.818771362304688e-06,4.943952883083277e-07,4.142730093002319,0.0015673898292020319,0.8671334266662598,0.006065492748694422,0.02638521194458008,0.00249962507842535
1,2.1375001430511475,0.058332740654281255,0.04089245796203613,0.0010328727296513571,7.863044738769532e-05,1.4044453120253696e-06,3.0,7.200241088867187e-06,7.798875443361342e-07,3.1172118186950684,0.06132454903904573,0.8807528018951416,0.01128827897539341,0.03294801712036133,0.004486769246070501
1,1.576369285583496,0.00324250823869196,0.030441761016845703,0.0011467795609101318,7.781982421875e-05,1.9043660686221939e-06,4.0,7.62939453125e-06,4.460403188197543e-07,2.5612303256988525,0.0023982588191678368,0.8852382183074952,0.009368219798571782,0.04207100868225098,0.00617885622166431
1,1.2726832389831544,0.007553518507920771,0.024239063262939453,0.0008102291916880423,8.020401000976562e-05,2.290556168456163e-06,5.0,7.43865966796875e-06,6.171311905643837e-07,2.2652960300445555,0.0019639387757259307,0.9010498523712158,0.007658493733323714,0.04749960899353027,0.00969138854198747
1,1.0610798358917237,0.004167046571629293,0.020430517196655274,0.0007709178652001604,8.344650268554688e-05,8.272815500687347e-06,6.0,9.632110595703125e-06,9.916608020346365e-07,2.057293176651001,0.010851340196994196,0.8959117889404297,0.00520047283189825,0.06141223907470703,0.003084622889257965
1,0.913345193862915,0.0038990577616368795,0.018121337890625,0.0006404321481319963,8.502006530761719e-05,3.835502157629052e-06,7.0,9.012222290039062e-06,2.9268247679565253e-06,1.9217800140380858,0.01614673781517658,0.9096593856811523,0.00456913947617685,0.06400570869445801,0.0057672547631511546
1,0.7986847400665283,0.0013491190023726975,0.015727663040161134,0.0001801263489174465,8.120536804199219e-05,2.3638333431139828e-06,8.0,8.916854858398437e-06,1.6222978435710906e-06,1.8139894485473633,0.009310892331432003,0.9043312072753906,0.012476709585313307,0.08389735221862793,0.006796448263876603
1,0.714310884475708,0.009351388849168772,0.014382123947143555,0.0002816632735272972,8.401870727539062e-05,1.4364595729248111e-06,9.0,8.392333984375e-06,1.6638132402770901e-06,1.7290868282318115,0.013802899410847303,0.9039090633392334,0.007041999177107584,0.08665862083435058,0.00351998942933083
1,0.6434114456176758,0.003855148841281852,0.013611030578613282,0.00034438667916213334,8.702278137207031e-05,3.2075939290699267e-06,10.0,8.535385131835937e-06,1.1849187507428338e-06,1.675653839111328,0.008623346045050103,0.9094749927520752,0.007388934416071305,0.09736690521240235,0.001554869284616977
1,0.597272253036499,0.0075183541787861045,0.013553237915039063,0.0007391755885842283,9.264945983886719e-05,4.159020600976134e-06,11.0,1.0395050048828125e-05,1.9631565904845143e-06,1.644185209274292,0.007410553488301877,0.9126098155975342,0.00917574759885965,0.10824179649353027,0.0034526832025559575
1,0.5429574966430664,0.002188854288706463,0.012384796142578125,0.00031083102071617326,8.754730224609375e-05,2.270616235887361e-06,12.0,9.202957153320313e-06,1.5041170402133467e-06,1.6110967636108398,0.01603331998979387,0.9249400138854981,0.015064250608578016,0.1185788631439209,0.009674094122889136
1,0.5024434089660644,0.0034325410343623943,0.011500930786132813,0.0006197001694404335,9.555816650390625e-05,3.819909111689625e-06,13.0,9.441375732421875e-06,8.529922399520072e-07,1.5794100284576416,0.02135871177752427,0.9173439979553223,0.016495786158314905,0.12332477569580078,0.00825317727515286
1,0.47232556343078613,0.005015513152737367,0.011066579818725586,0.0004273574920163935,9.765625e-05,5.306085691143539e-06,14.0,9.202957153320313e-06,1.748764116372323e-06,1.5623499870300293,0.01884035150696903,0.9257463455200196,0.00935371290059946,0.1364262580871582,0.008576647864087536
1,0.43560428619384767,0.0035268624037663975,0.010225868225097657,0.0003973647292452703,9.903907775878906e-05,4.38521705285056e-06,15.0,1.3828277587890625e-05,8.556536886656934e-06,1.529388427734375,0.014718618703624321,0.9185661792755127,0.007377385202046014,0.1491614818572998,0.005201553094609249
1,0.411350154876709,0.005053125632942816,0.00963735580444336,0.0003617555120928491,0.00010509490966796875,5.872554999559581e-06,16.0,8.96453857421875e-06,1.2226945309599003e-06,1.525327777862549,0.008200086376147525,0.9298681259155274,0.010849774889045618,0.14921026229858397,0.006607217906636257
1,0.38361778259277346,0.001651599914228363,0.008765935897827148,0.00048517861587823693,0.00012297630310058593,3.218209271697417e-06,17.0,1.0967254638671875e-05,1.1680077279964342e-06,1.5125682353973389,0.03904888131051853,0.9341257095336915,0.04180507983218052,0.16850428581237792,0.009548384959716468
1,0.3700040340423584,0.00845880742904805,0.008730506896972657,0.00019599635748014367,0.00011014938354492188,1.2839233415447482e-06,18.0,1.1205673217773438e-05,1.6345154286387071e-06,1.4768840789794921,0.009336209341291287,0.935175609588623,0.014582930156805712,0.14616355895996094,0.008412227228783941
1,0.3482837677001953,0.0009110316304059755,0.007990074157714844,0.00013219373917510604,0.00010805130004882812,3.1104259981728426e-06,19.0,1.1157989501953124e-05,1.2434391794591234e-06,1.485239362716675,0.01200560132432804,0.9283517360687256,0.009972123239126373,0.1839512348175049,0.015635384818015984
1,0.3297600746154785,0.002376513893113223,0.00772390365600586,3.759710560451923e-05,0.00010657310485839844,1.1557769435444663e-06,20.0,1.0204315185546874e-05,4.264961199760036e-07,1.4789616107940673,0.005843565393027824,0.923007583618164,0.002027881790153821,0.20016121864318848,0.005271070700476994
1,0.3137211322784424,0.0018392171649007144,0.007323026657104492,0.0002289431708329338,0.00014061927795410155,6.97123449790575e-05,21.0,1.0013580322265625e-05,1.316709639690788e-06,1.4953877925872803,0.014211769570153104,0.9406322002410888,0.011377256027489593,0.2156099796295166,0.013017213471816735
1,0.3000080108642578,0.0013391366232354603,0.006999874114990234,0.00017160413039184896,0.00010857582092285156,2.8739082728012394e-06,22.0,1.0776519775390626e-05,1.6808087093367164e-06,1.4871478080749512,0.009119670369426321,0.9277791976928711,0.0024146713243692686,0.23184409141540527,0.01193630637017625
1,0.2904093265533447,0.006747426127072641,0.006701278686523438,0.00025186930716214283,0.00011358261108398437,4.30673978483512e-06,23.0,1.163482666015625e-05,2.4857352292973263e-06,1.4940244197845458,0.017458853075808307,0.9344576358795166,0.004935496822942251,0.2374204158782959,0.005459745007161019
1,0.2776344776153564,0.0016760120980690444,0.006395816802978516,0.0003293933226640995,0.00011587142944335938,3.942927219519908e-06,24.0,1.18255615234375e-05,2.189040933826071e-06,1.494950008392334,0.010981840711315248,0.9399582386016846,0.00927968355394571,0.2510730266571045,0.005014188110747029
