,IO,compute,conclude,n,prepare,total,universe,wait
0,65.99033975601196,2421.0591547489166,0.00015616416931152344,1.0,1.2874603271484375e-05,2488.381630897522,0.8976900577545166,0.020021915435791016
1,33.016077280044556,1215.7292194366455,0.00015211105346679688,2.0,2.002716064453125e-05,1250.2162380218506,1.055314064025879,0.04845094680786133
2,22.294551372528076,852.182195186615,0.00017499923706054688,3.0,1.5974044799804688e-05,875.470575094223,0.8812868595123291,0.038848161697387695
3,16.47262454032898,616.8714179992676,0.00015997886657714844,4.0,1.5974044799804688e-05,634.2895379066467,0.8746039867401123,0.03214907646179199
4,13.31117296218872,537.890011548996,0.0001659393310546875,5.0,1.5974044799804688e-05,552.2008938789368,0.877249002456665,0.05805683135986328
5,11.117345333099365,443.40010046958923,0.00015306472778320312,6.0,1.7881393432617188e-05,455.50829100608826,0.8785841464996338,0.060472965240478516
6,9.846816301345825,379.40714979171753,0.00017690658569335938,7.0,2.193450927734375e-05,390.2585139274597,0.8890900611877441,0.0726938247680664
7,8.45304012298584,352.4994468688965,0.0001780986785888672,8.0,1.9073486328125e-05,361.96341490745544,0.8801898956298828,0.057357072830200195
8,7.479737758636475,309.12074637413025,0.00017786026000976562,9.0,1.6927719116210938e-05,317.5998589992523,0.905797004699707,0.05360221862792969
9,6.84421706199646,321.18778109550476,0.0001690387725830078,10.0,2.09808349609375e-05,329.11861991882324,0.9114360809326172,0.11188387870788574
10,6.106343746185303,253.87655377388,0.00016880035400390625,11.0,1.7881393432617188e-05,261.0102951526642,0.9051530361175537,0.07660508155822754
11,5.643881559371948,243.25074195861816,0.0001690387725830078,12.0,1.9073486328125e-05,249.94195008277893,0.9119870662689209,0.07012605667114258
12,5.241594314575195,241.4224967956543,0.0001728534698486328,13.0,2.4080276489257812e-05,247.75006008148193,0.9211318492889404,0.1383199691772461
13,4.867827415466309,223.8250961303711,0.000164031982421875,14.0,2.288818359375e-05,229.77643013000488,0.893967866897583,0.14657115936279297
14,4.496445178985596,203.3651978969574,0.00016307830810546875,15.0,2.2172927856445312e-05,208.9214129447937,0.9244191646575928,0.06269598007202148
15,4.235042572021484,199.75446796417236,0.00016307830810546875,16.0,2.002716064453125e-05,204.98962593078613,0.9115738868713379,0.060925960540771484
16,4.040218830108643,193.75376439094543,0.0001671314239501953,17.0,2.09808349609375e-05,198.84418106079102,0.8972129821777344,0.08884215354919434
17,3.8240044116973877,178.27290225028992,0.00016808509826660156,18.0,2.002716064453125e-05,183.1570417881012,0.9047958850860596,0.08906197547912598
18,3.593425750732422,168.99571657180786,0.0001709461212158203,19.0,1.9788742065429688e-05,173.62305998802185,0.9217929840087891,0.06702494621276855
19,3.424372911453247,163.04469227790833,0.0001690387725830078,20.0,2.193450927734375e-05,167.6545660495758,0.922264814376831,0.20628690719604492
20,3.2828822135925293,153.64834022521973,0.00018715858459472656,21.0,2.4080276489257812e-05,158.00871396064758,0.9140689373016357,0.08836984634399414
21,3.1896331310272217,158.81333780288696,0.0001850128173828125,22.0,2.288818359375e-05,163.13303089141846,0.9162008762359619,0.15220403671264648
22,3.049896717071533,140.25630283355713,0.00016999244689941406,23.0,2.193450927734375e-05,144.426677942276,0.9099390506744385,0.17330503463745117
23,2.988619804382324,147.87776279449463,0.0001800060272216797,24.0,2.002716064453125e-05,152.28676509857178,1.0463929176330566,0.2889988422393799
0,66.49659729003906,2442.4836945533752,0.0001628398895263672,1.0,1.2874603271484375e-05,2510.23442196846,0.8468208312988281,0.021230220794677734
1,33.13154458999634,1242.1527602672577,0.0001690387725830078,2.0,1.5974044799804688e-05,1276.71386885643,1.022782802581787,0.035704851150512695
2,22.09709596633911,867.6983098983765,0.0001590251922607422,3.0,1.5020370483398438e-05,890.7528560161591,0.8627350330352783,0.04319000244140625
3,16.532801389694214,649.9325966835022,0.00017499923706054688,4.0,1.5974044799804688e-05,667.4368619918823,0.8867380619049072,0.04108285903930664
4,13.416213035583496,548.6124083995819,0.00016307830810546875,5.0,1.5974044799804688e-05,563.3073449134827,0.8803329467773438,0.056366920471191406
5,11.055942296981812,448.56645464897156,0.00016307830810546875,6.0,2.002716064453125e-05,460.6081631183624,0.8933351039886475,0.04135012626647949
6,9.628509283065796,397.74171018600464,0.00016999244689941406,7.0,1.5974044799804688e-05,408.36490201950073,0.8822388648986816,0.07796096801757812
7,8.320302248001099,338.20815658569336,0.00017309188842773438,8.0,1.9788742065429688e-05,347.5403161048889,0.8992938995361328,0.07805180549621582
8,7.419288158416748,312.1861231327057,0.00016498565673828125,9.0,1.9788742065429688e-05,320.6002571582794,0.886868953704834,0.05606794357299805
9,6.704233884811401,290.72309017181396,0.00016808509826660156,10.0,1.7881393432617188e-05,298.47372007369995,0.9025800228118896,0.07105898857116699
10,6.067018985748291,259.2880873680115,0.00016999244689941406,11.0,1.6927719116210938e-05,266.36371088027954,0.8971290588378906,0.0794520378112793
11,5.741292238235474,263.56363916397095,0.0001709461212158203,12.0,2.4080276489257812e-05,270.39259791374207,0.9102170467376709,0.12853193283081055
12,5.179929256439209,230.05462098121643,0.0001728534698486328,13.0,2.09808349609375e-05,236.27721905708313,0.9055821895599365,0.10152316093444824
13,4.889259576797485,230.31134581565857,0.0001728534698486328,14.0,2.2172927856445312e-05,236.5628080368042,0.8964149951934814,0.11735296249389648
14,4.617552995681763,229.6046848297119,0.00017595291137695312,15.0,2.3126602172851562e-05,235.2747778892517,0.9072849750518799,0.10704588890075684
