,IO,compute,conclude,n,prepare,total,universe,wait
0,6.489153623580933,0.13010597229003906,8.20159912109375e-05,1.0,8.106231689453125e-06,8.12898302078247,0.9341108798980713,0.5072221755981445
1,3.2457287311553955,0.06487059593200684,6.29425048828125e-05,2.0,6.9141387939453125e-06,4.780719995498657,0.9138619899749756,0.5372500419616699
2,2.169464349746704,0.044846534729003906,8.797645568847656e-05,3.0,6.9141387939453125e-06,3.873945951461792,0.9645431041717529,0.6047937870025635
3,1.6241347789764404,0.03324270248413086,7.390975952148438e-05,4.0,7.152557373046875e-06,3.3359720706939697,0.9157249927520752,0.6986448764801025
4,1.308377742767334,0.026320219039916992,0.0003871917724609375,5.0,5.9604644775390625e-06,3.285473108291626,0.9427850246429443,0.9377880096435547
5,1.0865380764007568,0.02205801010131836,8.296966552734375e-05,6.0,5.9604644775390625e-06,2.8304741382598877,0.9350130558013916,0.7194528579711914
6,0.9259586334228516,0.018535375595092773,8.702278137207031e-05,7.0,5.9604644775390625e-06,2.444707155227661,0.925372838973999,0.5301859378814697
7,0.8057324886322021,0.016599416732788086,9.083747863769531e-05,8.0,7.152557373046875e-06,2.4409661293029785,0.9279618263244629,0.6039440631866455
8,0.7269346714019775,0.015682458877563477,9.179115295410156e-05,9.0,6.9141387939453125e-06,2.2954890727996826,0.932110071182251,0.5189619064331055
9,0.679018497467041,0.017182350158691406,9.393692016601562e-05,10.0,6.198883056640625e-06,1.9081850051879883,1.0182969570159912,0.11728811264038086
10,0.5831625461578369,0.012919425964355469,9.679794311523438e-05,11.0,7.152557373046875e-06,2.1438400745391846,0.929818868637085,0.5208160877227783
11,0.5398421287536621,0.011234760284423828,9.584426879882812e-05,12.0,5.9604644775390625e-06,2.1455631256103516,0.9346730709075928,0.6013450622558594
12,0.5143742561340332,0.012633085250854492,0.0004570484161376953,13.0,6.9141387939453125e-06,1.87017822265625,1.1249289512634277,0.10758805274963379
13,0.510556697845459,0.011728763580322266,0.0003859996795654297,14.0,6.9141387939453125e-06,1.8600330352783203,1.1075689792633057,0.13110709190368652
