,IO,compute,conclude,n,prepare,total,universe,wait
0,63.69227862358093,1.1737258434295654,0.00011301040649414062,1.0,5.9604644775390625e-06,65.81817603111267,0.8540558815002441,0.01588606834411621
1,32.18057465553284,0.5872058868408203,0.0001850128173828125,2.0,7.867813110351562e-06,33.70169281959534,0.8538548946380615,0.02816915512084961
2,21.28836226463318,0.41224217414855957,0.0001010894775390625,3.0,7.152557373046875e-06,22.662292957305908,0.8780767917633057,0.039952993392944336
3,15.97637939453125,0.31365466117858887,0.00015306472778320312,4.0,6.9141387939453125e-06,17.266610860824585,0.8890459537506104,0.03943300247192383
4,12.775326490402222,0.24571466445922852,0.00010085105895996094,5.0,6.9141387939453125e-06,13.97127079963684,0.8876080513000488,0.03358292579650879
5,10.652748107910156,0.21060776710510254,0.00010395050048828125,6.0,7.867813110351562e-06,11.806941986083984,0.886713981628418,0.03714299201965332
6,9.149353981018066,0.18058514595031738,0.00012302398681640625,7.0,9.059906005859375e-06,10.295287847518921,0.9065859317779541,0.04268002510070801
7,8.012657403945923,0.1620197296142578,0.00012302398681640625,8.0,1.0013580322265625e-05,9.153627872467041,0.9152801036834717,0.0435481071472168
8,7.311468601226807,0.13684487342834473,0.00011706352233886719,9.0,9.059906005859375e-06,8.505977153778076,0.893435001373291,0.09525203704833984
9,6.442774057388306,0.13340115547180176,0.00017499923706054688,10.0,1.0013580322265625e-05,7.591461896896362,0.9260950088500977,0.06926894187927246
10,5.892009258270264,0.13489294052124023,0.00013518333435058594,11.0,1.0013580322265625e-05,7.082628011703491,0.9066522121429443,0.128648042678833
11,5.426789999008179,0.12900519371032715,0.0001289844512939453,12.0,1.0013580322265625e-05,6.585310935974121,0.9270458221435547,0.08258700370788574
12,5.160851001739502,0.11605453491210938,0.00011706352233886719,13.0,1.0013580322265625e-05,6.386539936065674,0.921442985534668,0.13347697257995605
13,4.764857292175293,0.1051328182220459,0.00011491775512695312,14.0,1.1920928955078125e-05,5.976836204528809,0.9249680042266846,0.14613795280456543
14,4.421683073043823,0.10738587379455566,0.000125885009765625,15.0,1.2874603271484375e-05,5.58333420753479,0.935715913772583,0.09549903869628906
15,4.109789133071899,0.10070538520812988,0.00013518333435058594,16.0,1.3113021850585938e-05,5.345160007476807,0.9394848346710205,0.16579890251159668
16,3.9949235916137695,0.09566617012023926,0.00012993812561035156,17.0,1.1920928955078125e-05,5.203742980957031,0.9237480163574219,0.16619491577148438
17,3.7407824993133545,0.08890414237976074,0.00013399124145507812,18.0,1.0967254638671875e-05,4.926532983779907,0.9183220863342285,0.15505409240722656
18,3.534302234649658,0.08504581451416016,0.00013899803161621094,19.0,1.0967254638671875e-05,4.795624017715454,0.952908992767334,0.19278287887573242
19,3.309884786605835,0.0758213996887207,0.00013899803161621094,20.0,1.2874603271484375e-05,4.536161184310913,0.9087789058685303,0.2177879810333252
20,3.357308864593506,0.07300806045532227,0.0001399517059326172,21.0,1.2159347534179688e-05,4.487559080123901,0.9131290912628174,0.10766196250915527
21,3.110530138015747,0.06930708885192871,0.00013685226440429688,22.0,1.0967254638671875e-05,4.354203939437866,0.9121649265289307,0.24074006080627441
22,2.9913666248321533,0.07173275947570801,0.0001380443572998047,23.0,1.1920928955078125e-05,4.271261930465698,0.9224212169647217,0.26373815536499023
23,2.7850630283355713,0.063690185546875,0.000141143798828125,24.0,1.1920928955078125e-05,4.144038915634155,0.9575691223144531,0.2957310676574707
0,63.69623303413391,1.2285969257354736,0.00011706352233886719,1.0,6.9141387939453125e-06,65.8692569732666,0.8575150966644287,0.01742386817932129
1,31.885623455047607,0.611752986907959,0.00019884109497070312,2.0,7.152557373046875e-06,34.152337074279785,1.5628938674926758,0.023468017578125
2,21.269991159439087,0.42061805725097656,0.00015020370483398438,3.0,7.867813110351562e-06,22.621424913406372,0.8650109767913818,0.0330960750579834
3,15.960202693939209,0.3058624267578125,0.00010204315185546875,4.0,6.9141387939453125e-06,17.266792058944702,0.9175741672515869,0.04116511344909668
4,12.759456396102905,0.2579476833343506,0.00010514259338378906,5.0,8.106231689453125e-06,13.98976993560791,0.8799738883972168,0.054049015045166016
5,10.732751846313477,0.20244431495666504,0.00010991096496582031,6.0,6.9141387939453125e-06,11.937186002731323,0.894028902053833,0.05682802200317383
6,9.404442548751831,0.18316030502319336,0.00010204315185546875,7.0,7.867813110351562e-06,10.630724906921387,0.9105122089385986,0.07282304763793945
7,8.126335382461548,0.1561756134033203,0.00010013580322265625,8.0,6.9141387939453125e-06,9.327630043029785,0.8883559703826904,0.09978389739990234
8,7.145058870315552,0.1533820629119873,0.00010895729064941406,9.0,1.0013580322265625e-05,8.308538913726807,0.9287960529327393,0.06029987335205078
9,6.639882564544678,0.13866448402404785,9.799003601074219e-05,10.0,1.5020370483398438e-05,7.7885119915008545,0.8940849304199219,0.05137801170349121
10,6.186698913574219,0.12554717063903809,0.00011110305786132812,11.0,1.0967254638671875e-05,7.358967065811157,0.9248709678649902,0.06126809120178223
11,5.4171061515808105,0.12662529945373535,0.00010395050048828125,12.0,1.0013580322265625e-05,6.609403848648071,0.9027948379516602,0.14093899726867676
12,5.050243139266968,0.11724305152893066,0.00011396408081054688,13.0,9.059906005859375e-06,6.272063970565796,0.9304139614105225,0.14094901084899902
13,4.951386213302612,0.11042666435241699,0.00012302398681640625,14.0,1.2874603271484375e-05,6.086107969284058,0.9345300197601318,0.06690597534179688
14,4.404216051101685,0.10892248153686523,0.00013589859008789062,15.0,1.3113021850585938e-05,5.6142730712890625,0.9175209999084473,0.13423895835876465
15,4.137808799743652,0.10099411010742188,0.0001201629638671875,16.0,1.2159347534179688e-05,5.343580961227417,0.9180300235748291,0.1658029556274414
16,3.891383647918701,0.09422063827514648,0.00013303756713867188,17.0,1.3113021850585938e-05,5.115012884140015,0.9081029891967773,0.1941819190979004
17,3.7189035415649414,0.09295201301574707,0.00012493133544921875,18.0,1.1920928955078125e-05,4.89454984664917,0.9059150218963623,0.15450811386108398
18,3.4782588481903076,0.08175492286682129,0.00012803077697753906,19.0,1.1205673217773438e-05,4.699138164520264,0.9071319103240967,0.2124330997467041
19,3.447150230407715,0.0823678970336914,0.00012493133544921875,20.0,1.0967254638671875e-05,4.668262004852295,0.9360120296478271,0.1738450527191162
20,3.1783230304718018,0.07853055000305176,0.0001239776611328125,21.0,1.0013580322265625e-05,4.424330949783325,0.9075591564178467,0.238023042678833
21,3.039766311645508,0.0742034912109375,0.00014090538024902344,22.0,1.1205673217773438e-05,4.328831911087036,0.9332821369171143,0.2601430416107178
22,2.9454076290130615,0.06860017776489258,0.0001461505889892578,23.0,1.0013580322265625e-05,4.251248121261597,0.9454238414764404,0.25945591926574707
23,2.79394793510437,0.06484532356262207,0.00014591217041015625,24.0,1.1205673217773438e-05,4.360681056976318,1.1632981300354004,0.2993509769439697
0,63.83229660987854,1.2189319133758545,0.00011110305786132812,1.0,6.9141387939453125e-06,66.0688910484314,0.8946340084075928,0.017652034759521484
1,31.88986611366272,0.5992147922515869,0.0001850128173828125,2.0,7.867813110351562e-06,34.20169401168823,1.6329059600830078,0.028239011764526367
2,21.275402307510376,0.41437482833862305,9.107589721679688e-05,3.0,7.152557373046875e-06,22.66499900817871,0.8764750957489014,0.03793787956237793
3,15.98119592666626,0.3175175189971924,9.894371032714844e-05,4.0,6.9141387939453125e-06,17.28288698196411,0.8862340450286865,0.03518509864807129
4,12.762880325317383,0.24805831909179688,9.894371032714844e-05,5.0,7.152557373046875e-06,13.970181941986084,0.8946888446807861,0.04517006874084473
5,10.610742807388306,0.19927215576171875,0.000102996826171875,6.0,6.9141387939453125e-06,11.794659852981567,0.8974051475524902,0.06020498275756836
6,9.150087356567383,0.18486714363098145,0.0001010894775390625,7.0,7.152557373046875e-06,10.288182973861694,0.8932158946990967,0.04031205177307129
