,IO,IO_std,compute,compute_std,conclude,conclude_std,n,prepare,prepare_std,total,total_std,universe,universe_std,wait,wait_std
1,69.76268215179444,1.1213461358782222,2431.326588201523,32.270829351305544,0.0001652240753173828,1.4825150219316976e-05,1.0,1.7404556274414062e-05,4.460403188197543e-07,2503.4244553565977,32.82892256009442,0.9823941230773926,0.04160940391869235,0.9460544109344482,0.2695283717969822
1,34.07103524208069,0.15856535110985356,1265.546749830246,27.211216096962143,0.0001610279083251953,1.29160390860627e-05,2.0,1.7976760864257814e-05,1.2226945309599003e-06,1301.3799521446228,27.380711336420003,0.9475614070892334,0.010401634884268311,0.5940308570861816,0.016082065423683563
1,17.014372968673705,0.08324079708203191,640.413895559311,12.387779676960017,0.00016312599182128907,4.543735217884672e-06,4.0,1.8024444580078124e-05,2.189040933826071e-06,659.3953743934632,12.497384539343809,0.9463613510131836,0.006598242320768159,0.8683614253997802,0.05306814211620782
1,10.439239311218262,0.24152889724292403,326.0197029590607,3.1401272784918395,0.00016841888427734374,1.6048244831586692e-05,8.0,1.8787384033203124e-05,1.6638132402770901e-06,339.13526225090027,3.14082518765693,1.0860430240631103,0.10541202373967495,1.3927485942840576,0.11873946179902328
1,5.622577428817749,0.22257138485815423,166.87270255088805,3.442793507298341,0.00018625259399414064,8.98809584311273e-06,16.0,1.7833709716796874e-05,1.483185864924983e-06,175.06307034492494,3.9795387934692923,1.0034395694732665,0.10097721378444216,1.2467567920684814,0.04483826865163811
1,4.213444566726684,1.8874979921460324,111.82336106300355,1.7620458991448202,0.000201416015625,1.8222573911475353e-05,24.0,1.940727233886719e-05,9.476951081443686e-07,118.46850776672363,1.8250580433810937,0.9723703861236572,0.030611467588051628,0.9164535522460937,0.6239285363354258
1,2.4514487743377686,0.32137365009656976,89.41958246231079,1.6061673618077204,0.00022096633911132811,1.876961526173698e-05,32.0,2.064704895019531e-05,1.1631308477068394e-06,93.41584315299988,1.5592438691792716,0.9876143932342529,0.018966400488120462,0.34447879791259767,0.026026811773351595
1,2.510446643829346,0.9185434828198532,75.16292290687561,1.669038572391404,0.00022320747375488282,2.2143683067121018e-05,40.0,2.0742416381835938e-05,1.710975181389728e-06,79.46051106452941,0.8928685283363686,1.0175479888916015,0.038187527695472887,0.600291109085083,0.32577510998876824
1,1.616456651687622,0.3433157530032148,68.54171652793885,1.1755870936074078,0.00022644996643066405,1.775089967943121e-05,48.0,2.0170211791992186e-05,1.3015121520954303e-06,72.01676363945008,1.0781311391797028,1.0464859008789062,0.029489065152266073,0.6144469261169434,0.05846478628241404
1,2.3747705936431887,2.499166543858181,63.6669903755188,2.078246123950851,0.0002479076385498047,1.3658076280190915e-05,56.0,1.8787384033203124e-05,1.6292905390996825e-06,68.22722301483154,1.334278086584961,1.0912414073944092,0.005091225045705653,0.818962574005127,0.08390821286374155
1,1.575137186050415,1.045130715665121,59.08873977661133,1.8755253524965472,0.00028839111328125,3.805469737001732e-05,64.0,1.940727233886719e-05,1.504117040213347e-06,62.9109601020813,0.984048594830087,1.1057786464691162,0.009695356324653636,0.8429172039031982,0.08118678046737084
1,3.7703119277954102,5.662025392341189,52.82970957756042,2.8001688659926285,0.0002915382385253906,2.2921934674329317e-05,72.0,2.0599365234375e-05,1.6046827955688322e-06,59.19877738952637,2.9130509408854572,1.1093062877655029,0.02293718210970339,1.0731638431549073,0.16227709631640463
