,IO,compute,conclude,n,prepare,total,universe,wait
0,69.50117540359497,2393.822949409485,0.0001819133758544922,1.0,1.71661376953125e-05,2465.693461894989,1.0471179485321045,0.9315500259399414
1,33.85196042060852,1235.4570496082306,0.00018405914306640625,2.0,1.5974044799804688e-05,1270.9266810417175,0.9400980472564697,0.6018781661987305
2,17.155749559402466,652.9734206199646,0.0001678466796875,4.0,2.09808349609375e-05,672.073961019516,0.9451768398284912,0.9045138359069824
3,10.273334503173828,321.46864771842957,0.00017595291137695312,8.0,2.002716064453125e-05,334.42436003685,1.202491044998169,1.4017939567565918
4,5.792800426483154,165.51694011688232,0.00018715858459472656,16.0,1.5974044799804688e-05,173.82498908042908,1.0272088050842285,1.2992238998413086
5,7.526498794555664,109.44742631912231,0.00021910667419433594,24.0,2.002716064453125e-05,120.5711579322815,1.018259048461914,1.462493896484375
6,2.393340826034546,90.71884441375732,0.00023698806762695312,32.0,2.2172927856445312e-05,94.57737898826599,0.9658169746398926,0.33313798904418945
7,4.066583871841431,72.36778450012207,0.000244140625,40.0,1.8835067749023438e-05,78.83543610572815,1.07676100730896,1.1756458282470703
8,1.4516375064849854,70.2778012752533,0.00020885467529296875,48.0,2.193450927734375e-05,73.52891397476196,1.047339916229248,0.5553247928619385
9,6.84539008140564,60.44730615615845,0.0002448558807373047,56.0,1.7881393432617188e-05,69.338623046875,1.0876200199127197,0.7243030071258545
10,3.4443564414978027,55.97227168083191,0.0002589225769042969,64.0,1.811981201171875e-05,61.629278898239136,1.1049420833587646,0.8345019817352295
11,13.895252704620361,47.94222664833069,0.00026297569274902344,72.0,1.7881393432617188e-05,64.33428502082825,1.1200180053710938,0.8417940139770508
0,69.1343240737915,2411.098736524582,0.0001671314239501953,1.0,1.71661376953125e-05,2482.638855934143,0.9762058258056641,1.01397705078125
1,33.96236562728882,1246.5998787879944,0.00015401840209960938,2.0,1.7881393432617188e-05,1282.1778190135956,0.9340329170227051,0.5850920677185059
2,16.97141194343567,641.6833107471466,0.00015687942504882812,4.0,1.71661376953125e-05,660.5210890769958,0.9557859897613525,0.8102450370788574
3,10.273582220077515,325.89858651161194,0.0001900196075439453,8.0,1.7881393432617188e-05,338.7293140888214,1.1493229866027832,1.2974209785461426
4,5.384330987930298,167.0112235546112,0.0001850128173828125,16.0,2.002716064453125e-05,174.62467694282532,0.9544069766998291,1.180737018585205
5,3.295065402984619,110.9476068019867,0.00017499923706054688,24.0,1.9073486328125e-05,115.57734107971191,0.9784760475158691,0.2290658950805664
6,2.6898632049560547,87.13861465454102,0.00022411346435546875,32.0,1.9073486328125e-05,91.47303891181946,1.0012390613555908,0.38194990158081055
7,2.325883626937866,76.21725106239319,0.00019216537475585938,40.0,2.288818359375e-05,80.1229350566864,1.0100860595703125,0.3985908031463623
8,1.4437158107757568,67.67668056488037,0.00024700164794921875,48.0,2.002716064453125e-05,70.97537207603455,1.0116899013519287,0.6613070964813232
9,1.2437267303466797,64.09779572486877,0.0002548694610595703,56.0,1.7881393432617188e-05,67.48651099205017,1.0903980731964111,0.848222017288208
10,1.1424956321716309,59.55354619026184,0.0003070831298828125,64.0,2.09808349609375e-05,63.03089094161987,1.1083989143371582,0.9753060340881348
11,1.3974230289459229,54.874170780181885,0.00027298927307128906,72.0,2.09808349609375e-05,58.59148597717285,1.073415994644165,1.0057880878448486
0,69.31012415885925,2422.7030866146088,0.00017404556274414062,1.0,1.7881393432617188e-05,2494.490784883499,0.9770078659057617,1.0950829982757568
1,34.20453143119812,1258.3416638374329,0.0001552104949951172,2.0,1.9073486328125e-05,1294.5307908058167,0.9581019878387451,0.6115071773529053
2,16.942662954330444,624.8675684928894,0.0001659393310546875,4.0,1.8835067749023438e-05,643.7747750282288,0.9460639953613281,0.9227511882781982
3,10.456307411193848,328.2359561920166,0.00014901161193847656,8.0,2.09808349609375e-05,341.5714271068573,0.9588191509246826,1.5768721103668213
4,5.889985084533691,172.7583110332489,0.00017905235290527344,16.0,1.7881393432617188e-05,181.97134280204773,0.9276189804077148,1.2700600624084473
5,3.5880303382873535,111.770024061203,0.00020313262939453125,24.0,2.002716064453125e-05,118.83062291145325,0.9765050411224365,1.3793649673461914
6,2.1496798992156982,90.18474817276001,0.0001888275146484375,32.0,2.09808349609375e-05,93.82666778564453,0.9920499324798584,0.31700897216796875
7,1.7369909286499023,74.9897186756134,0.00023698806762695312,40.0,2.2172927856445312e-05,78.48294591903687,1.0305249691009521,0.5372369289398193
8,1.4434452056884766,69.25326752662659,0.000244140625,48.0,2.09808349609375e-05,72.62727808952332,1.0915348529815674,0.5459249019622803
9,1.2628145217895508,66.05136346817017,0.0002617835998535156,56.0,2.09808349609375e-05,69.73794102668762,1.0990159511566162,0.9468028545379639
10,1.0875244140625,58.9153106212616,0.0002620220184326172,64.0,2.09808349609375e-05,62.28038787841797,1.1195881366729736,0.7798600196838379
11,1.24660062789917,53.30469799041748,0.0003108978271484375,72.0,2.09808349609375e-05,57.637665033340454,1.1352381706237793,1.1997110843658447
0,71.74930047988892,2470.5901148319244,0.0001430511474609375,1.0,1.7881393432617188e-05,2544.2455060482025,0.9808840751647949,0.49622201919555664
1,34.21333456039429,1288.0128514766693,0.00015687942504882812,2.0,1.8835067749023438e-05,1324.1826570034027,0.9565510749816895,0.570781946182251
2,16.987159967422485,630.9936721324921,0.00015997886657714844,4.0,1.5020370483398438e-05,649.8854598999023,0.9475030899047852,0.891495943069458
3,10.850093841552734,324.92524123191833,0.0001571178436279297,8.0,1.6927719116210938e-05,338.52960896492004,0.9915339946746826,1.4091699123382568
4,5.625430345535278,164.63021421432495,0.0002009868621826172,16.0,1.71661376953125e-05,172.77259397506714,1.1700820922851562,1.254917860031128
5,2.8416996002197266,113.99681949615479,0.00021696090698242188,24.0,1.7881393432617188e-05,118.28087902069092,0.9417688846588135,0.24552607536315918
6,2.8688766956329346,90.71513414382935,0.00023102760314941406,32.0,2.09808349609375e-05,95.07821106910706,0.9700989723205566,0.3596639633178711
7,2.4779913425445557,76.54220199584961,0.0002079010009765625,40.0,1.9788742065429688e-05,80.62405109405518,0.9871869087219238,0.4621598720550537
8,2.2282416820526123,67.81011056900024,0.00021719932556152344,48.0,1.8835067749023438e-05,71.87679409980774,1.0315558910369873,0.6582248210906982
9,1.2656559944152832,64.5611321926117,0.00025200843811035156,56.0,1.71661376953125e-05,68.08814787864685,1.0861270427703857,0.7929039001464844
10,1.1004571914672852,60.74757385253906,0.00026702880859375,64.0,1.9073486328125e-05,64.13306999206543,1.103281021118164,0.8507730960845947
11,0.9945752620697021,53.6483039855957,0.00031495094299316406,72.0,2.2172927856445312e-05,57.28960990905762,1.1051311492919922,1.2498819828033447
