,IO,IO_std,compute,compute_std,conclude,conclude_std,n,prepare,prepare_std,total,total_std,universe,universe_std,wait,wait_std
1,7.6360509395599365,0.6762390245909691,239.81879415512086,0.789892916521342,0.00015654563903808594,1.688619679002561e-05,1.0,1.8262863159179686e-05,8.856857119086604e-07,249.70948519706727,0.6952060542086381,0.9842863559722901,0.02705189907357449,0.9612453937530517,0.2792224522840669
1,3.3652098178863525,0.00964675965523307,122.10546851158142,2.35065694681937,0.00014619827270507814,2.344516710079102e-06,2.0,1.778602600097656e-05,1.3550064314253637e-06,127.00211553573608,2.2806899195218144,0.9539542198181152,0.013619709081586943,0.4806807994842529,0.01905043910112432
1,1.6847132205963136,0.02669553049156816,62.28251953125,0.27304740394866145,0.00014271736145019532,7.93006143013482e-06,4.0,1.7404556274414062e-05,1.8998834431778464e-06,65.74324259757995,0.2411901981837726,0.9373207569122315,0.012993969513225194,0.7328178405761718,0.018829293776461364
1,1.3389934062957765,0.3190235015231965,32.95343751907349,0.9465106980295976,0.0001644134521484375,1.882344502967176e-05,8.0,1.7404556274414062e-05,1.1055014724130278e-06,36.62428979873657,0.8720934392572599,1.0672218322753906,0.11421000007932458,1.1881054878234862,0.09469910844916588
1,0.8932003498077392,0.7437641965220031,16.37981696128845,0.19319376257984927,0.00017576217651367189,1.5582619559872262e-05,16.0,1.7642974853515625e-05,2.071636581061216e-06,19.825713205337525,0.8613482734237339,1.0217721939086915,0.10743222779767982,1.2245957851409912,0.18051109516580124
1,0.8423288822174072,0.9232321352722966,10.923369598388671,0.33247850867933015,0.00018634796142578126,2.0315725329521337e-05,24.0,1.8405914306640626e-05,1.5210283191429693e-06,14.535004615783691,1.2649197985583278,1.0342735767364502,0.10841759667746098,1.350633430480957,0.141444832695067
1,0.5441600799560546,0.5365615984346387,8.493061351776124,0.7107467603294472,0.0001960277557373047,1.4327349866257539e-05,32.0,1.8787384033203124e-05,1.5579518559174098e-06,11.332106018066407,0.5313022902252484,0.9668293476104737,0.028212817967547706,1.1422964096069337,0.46920448749221544
1,0.5125730991363525,0.5319260361985363,7.287488412857056,0.33521757970591587,0.00021457672119140625,2.4591232412197362e-05,40.0,1.845359802246094e-05,1.6483675019687276e-06,9.607705783843993,0.396877285145755,1.0093446254730225,0.043857858308031364,0.5040508270263672,0.22685919907876392
1,0.21573405265808104,0.08869933645054623,6.794434022903443,0.21948370376137602,0.0002277851104736328,2.0290527694593365e-05,48.0,1.8262863159179686e-05,8.189947146090349e-07,8.802846145629882,0.20348817133346978,1.0166418075561523,0.030197415696082527,0.527572774887085,0.02835261290009159
1,0.12603912353515626,0.0020705333919122195,6.525935649871826,0.2155703171727854,0.0002467632293701172,2.2638468686045112e-05,56.0,1.8644332885742188e-05,2.2391046298740186e-06,8.698992443084716,0.3176711702622553,1.0768061637878419,0.02741524295340166,0.7139509677886963,0.10604571504277231
1,0.352415943145752,0.522508429302803,5.93073844909668,0.5069087120504218,0.0002707958221435547,2.9531872994372015e-05,64.0,1.9598007202148438e-05,2.7464744096439755e-06,8.57264266014099,0.19119058023256766,1.086050319671631,0.020372122793244192,0.878508186340332,0.11782927794002074
1,0.10139250755310059,0.0011614318144958285,5.557460308074951,0.09869683716867629,0.0002849578857421875,2.4324771645504153e-05,72.0,1.8358230590820312e-05,9.386548845782055e-07,8.231001806259155,0.08506432221947337,1.1138244152069092,0.013248560576256495,1.059859561920166,0.07815462540535384
